vfid,RA,DEC,vr,radius,objname
VFID0390,182.4455,62.268513,2609.5,61.818897,UGC07153
VFID0391,191.05025,62.247456,2622.7,18.841751,PGC042889
VFID0392,172.7591,62.245033,2737.5,16.813435,SDSSJ113102.13+621443.0
VFID0393,200.38019,62.243458,3010.3,19.820803,PGC2633244
VFID0394,174.78922,62.231197,3253.8,9.552592,SDSSJ113909.42+621352.4
VFID0395,117.138596,62.207405,1716.8,36.401665,UGC04024
VFID0396,189.33133,62.202057,2099.4556,4.0154796,
VFID0397,191.05003,62.172066,2566.1,18.10278,SDSSJ124412.03+621020.0
VFID0398,180.55084,62.13726,1209.2,77.11187,NGC4041
VFID0399,153.04996,62.097115,3128.1,13.712646,PGC029717
VFID0400,197.26724,62.083748,2920.7,10.306739,SDSSJ130904.13+620501.6
VFID0401,168.59438,62.072098,3187.9,25.949038,PGC034243
VFID0402,177.36115,62.05567,1294.3,20.329245,SDSSJ114926.59+620320.6
VFID0403,191.09663,62.052017,2608.3,73.940125,SDSSJ124423.23+620305.5
VFID0404,141.02634,62.029884,1478.9,30.487461,UGC04990
VFID0405,202.7487,62.024662,1981.8,35.40962,UGC08514
VFID0406,205.84799,62.009968,2076,15.963248,PGC2628740
VFID0407,203.67313,61.99336,3082.9,25.12588,UGC08571
VFID0408,177.9922,61.931652,2523.1,26.553469,PGC037179
VFID0409,259.19876,61.92011,3073.2,39.095005,UGC10796
VFID0410,152.93468,61.89619,3140.8,8.976794,SDSSJ101144.35+615346.4
VFID0411,180.36172,61.89576,1370.3,145.58655,NGC4036
VFID0412,144.54279,61.8699,1710,18.972355,PGC027454
VFID0413,209.67868,61.86262,1795.2,14.491764,PGC049735
VFID0414,259.18033,61.850574,3144.8,13.712646,PGC214603
VFID0415,173.1835,61.82689,3249.4,35.573063,UGC06528
VFID0416,260.8992,61.82373,3061.8,11.24919,PGC3137734
VFID0417,222.27885,61.7909,2999.8,10.522556,SDSSJ144906.92+614727.0
VFID0418,243.7617,61.781944,2942,9.911086,PGC057611
VFID0419,259.47086,61.78077,3044.3,31.92429,NGC6359
VFID0420,178.91142,61.777683,1949.7,11.564351,PGC2624407
VFID0421,210.75185,61.751793,1691.7,26.553469,UGC08982
